"Informazioni cronologiche","ID Partecipante (fornito dallo sperimentatore):","Età:","Genere:","Titolo di studio attuale:","Campo di studio:","Hai mai usato un visore in Virtual Reality (VR) o Mixed Reality (MR) (es. Oculus, Meta Quest, HoloLens, ecc.)?","Hai mai completato attività o giochi con interazioni immersive (Extended Reality, VR o MR)?","Hai mai sofferto di nausea, vertigini o disorientamento usando visori VR o ambienti digitali immersivi?","Hai esperienza con sistemi di interazione vocale (es. Alexa, Siri, Google Assistant)?","Hai mai utilizzato chatbot basati su AI o Large Language Model (es. ChatGPT, Copilot, Gemini)?","Quanto ti senti a tuo agio a interagire con un assistente conversazionale basato su AI? ","Hai mai svolto esperimenti di laboratorio chimico (universitari o scolastici)?","Conosci concetti di base della sintesi chimica (es. reagenti, solventi, fasi, ecc.)?","Disagio generale.","Affaticamento.","Mal di testa.","Affaticamento visivo.","Difficoltà di messa a fuoco.","Salivazione aumentata.","Sudorazione.","Nausea.","Difficoltà di concentrazione.","Sensazione di “testa piena”.","Visione offuscata.","Vertigini (occhi aperti).","Vertigini (occhi chiusi).","Senso di giramento di testa.","Sensazione di stomaco “in movimento”.","Sensazione di dover ruttare."
"2025/07/08 11:54:32 PM EEST","E_06","21-25","Maschio","Laurea Triennale","Fisioterapia","1-2 volte","Mai","Mai","Moderata","Spesso","Molto","Solo in classe","Abbastanza","1","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0"
"2025/07/09 4:18:00 PM EEST","N_06","26-30","Maschio","Laurea Triennale","Informatica","3-10 volte","Qualche volta","Mai","Moderata","Spesso","Abbastanza","No","No","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0"
"2025/07/09 4:33:13 PM EEST","N_07","21-25","Femmina","Laurea Triennale","Informatica","1-2 volte","Mai","Mai","Moderata","Spesso","Poco","No","No","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2025/07/09 4:46:12 PM EEST","N_08","18-20","Maschio","Diploma","Lingue","Mai","Mai","Mai","Moderata","Qualche volta","Abbastanza","No","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025/07/09 4:49:39 PM EEST","N_09","26-30","Femmina","Laurea Triennale","Giurisprudenza","Mai","Mai","Mai","Moderata","Qualche volta","Poco","No","No","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2025/07/09 4:52:41 PM EEST","N_10","26-30","Maschio","Laurea Magistrale","Ingegneria Informatica","1-2 volte","Mai","Raramente","Moderata","Spesso","Molto","No","No","0","1","0","1","0","0","0","0","0","0","1","0","0","0","0","0"
"2025/07/09 5:11:21 PM EEST","E_07","21-25","Maschio","Laurea Triennale","Informatica","1-2 volte","Mai","Mai","Moderata","Spesso","Abbastanza","No","No","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0"
"2025/07/09 5:14:57 PM EEST","E_08","26-30","Maschio","Laurea Magistrale","Chimica Farmaceutica","Mai","Mai","Mai","Moderata","Qualche volta","Abbastanza","In laboratorio universitario","Abbastanza","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2025/07/09 5:16:03 PM EEST","E_09","26-30","Femmina","Diploma","Informatica","Mai","Mai","Mai","Alta","Spesso","Poco","No","No","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0"
"2025/07/09 6:31:50 PM EEST","E_10","26-30","Maschio","Laurea Triennale","Informatica","1-2 volte","Mai","Mai","Alta","Spesso","Molto","No","No","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0"
